Name;Degree
Transfiguration;1
Fang;2
pompously;9
Muggles;6
Dudley;9
Dundee;1
Devil;2
earth;1
Body-Bind;1
Ravenclaw;3
needin;1
Dad;1
McGonagall;1
Lucky;1
Fred;4
Well...Voldemort;1
Hogwarts;6
Granger;1
Who'd;1
Magic;3
casually;9
Stalagmite;1
Voldemort;4
Mrs.;1
angrily;3
I'd;9
Aunt;7
Bott;1
Piers;2
always;2
anxiously;7
Potter;3
blankly;4
twice;4
softly;2
London;3
Petunia;5
George;2
Arts;1
miserably;5
D'yeh;1
proudly;5
Stone;13
past;1
Quirrell;15
idly;5
Mars;2
Goyle;9
Longbottom;1
Red;1
really;1
Head;1
Lee;10
Filch;10
Severus;1
Sorcerer;2
airily;9
Neville;23
Bill;1
Norbert;3
Charlie;2
Professor;21
timidly;8
You-Know-Who;6
Malfoy;15
darkly;8
Galleons;1
coldly;3
Gringotts;3
boy;2
Romania;1
Hagrid;75
last;1
Ron;66
Fluffy;1
Percy;21
Griphook;2
loudly;5
We'd;1
Slytherin;10
Cornelius;1
Pomfrey;3
quietly;8
already;1
Baron;2
suddenly;12
Knuts;1
Nick;10
He-Who-Must-Not-Be-Named;1
Hufflepuff;4
Lily;2
Snare...what;1
Monday;1
Firenze;4
quickly;3
breathlessly;3
Vernon;8
Uncle;19
Marge;2
way;1
He'd;1
Yeh;2
Dumbledore;29
Ridgeback;2
Dragon;1
Hags;4
Harry;97
Seamus;10
Better;2
Night;1
Force;1
Cauldron;1
Wood;3
Miss;1
proof;1
Sir;1
Quidditch;3
Dursley;13
Agrippa;2
grumpily;8
Wizard;1
Father;1
dreamily;4
Weasley;15
Yeah...he;1
Mr.;3
Wizards;1
gloomily;3
mysteriously;1
again;4
Gryffindor;6
thing;7
Hannah;7
Diggle;4
Ministry;2
Bane;4
book;1
Snape;19
wantin;1
Hall;1
Great;1
furiously;6
opposite;4
Wednesday;1
Hermione;34
letter;1
Hooch;1
Flitwick;2
Scabbers;6
Hedwig;3
Mommy;1
briskly;9
Ollivander;1
